iter	Passed	Remaining
446	1173	3227
447	1175	3223
448	1178	3218
449	1180	3214
450	1182	3209
451	1188	3215
452	1191	3211
453	1193	3206
454	1195	3201
455	1198	3197
456	1200	3192
457	1203	3189
458	1205	3184
459	1211	3188
460	1213	3184
461	1216	3180
462	1218	3175
463	1221	3172
464	1223	3168
465	1225	3163
466	1228	3159
467	1233	3163
468	1236	3159
469	1238	3155
470	1241	3151
471	1243	3146
472	1245	3142
473	1248	3137
474	1250	3133
475	1252	3129
476	1255	3125
477	1257	3121
478	1260	3116
479	1262	3112
480	1264	3107
481	1267	3103
482	1269	3099
483	1271	3095
484	1274	3091
485	1276	3086
486	1278	3082
487	1281	3078
488	1283	3074
489	1285	3070
490	1288	3066
491	1290	3062
492	1293	3057
493	1295	3053
494	1297	3049
495	1300	3045
496	1302	3041
497	1304	3037
498	1307	3033
499	1309	3029
500	1312	3025
501	1314	3021
502	1316	3017
503	1319	3012
504	1321	3009
505	1323	3004
506	1326	3000
507	1328	2996
508	1330	2991
509	1333	2987
510	1335	2983
511	1337	2979
512	1339	2975
513	1342	2971
514	1344	2966
515	1346	2962
516	1348	2958
517	1351	2954
518	1353	2949
519	1355	2945
520	1357	2941
521	1360	2937
522	1365	2940
523	1368	2937
524	1370	2932
525	1372	2928
526	1375	2924
527	1377	2920
528	1377	2920
529	1379	2913
530	1379	2913
531	1382	2907
532	1384	2903
533	1387	2899
534	1390	2898
535	1390	2898
536	1398	2902
537	1401	2901
538	1404	2897
539	1404	2897
540	1407	2891
541	1410	2890
542	1416	2894
543	1421	2894
544	1423	2890
545	1426	2886
546	1428	2882
547	1430	2878
548	1434	2877
549	1438	2877
550	1441	2873
551	1444	2872
552	1447	2868
553	1451	2867
554	1453	2864
555	1457	2863
556	1460	2860
557	1463	2858
558	1466	2855
559	1469	2852
560	1472	2849
561	1475	2847
562	1478	2844
563	1482	2843
564	1486	2842
565	1488	2839
566	1492	2838
567	1495	2835
568	1499	2833
569	1503	2833
570	1505	2829
571	1508	2826
572	1511	2823
573	1514	2820
574	1518	2819
575	1521	2818
576	1524	2814
577	1527	2812
578	1530	2809
579	1533	2807
580	1536	2803
581	1539	2801
582	1542	2799
583	1548	2801
584	1552	2799
585	1554	2795
586	1558	2794
587	1560	2790
588	1563	2787
589	1566	2784
590	1572	2787
591	1575	2785
592	1578	2781
593	1580	2777
594	1583	2774
595	1585	2770
596	1588	2767
597	1594	2769
598	1596	2766
599	1600	2765
600	1603	2761
601	1605	2757
602	1608	2754
603	1610	2750
604	1616	2753
605	1619	2749
606	1621	2745
607	1624	2741
608	1626	2737
609	1628	2734
610	1631	2731
611	1634	2727
612	1636	2724
613	1639	2721
614	1642	2717
615	1645	2715
616	1649	2713
617	1651	2709
618	1653	2706
619	1656	2702
620	1658	2698
621	1661	2695
622	1665	2694
623	1668	2691
624	1670	2687
625	1673	2684
626	1675	2680
627	1677	2676
628	1680	2673
629	1683	2669
630	1685	2666
631	1688	2662
632	1690	2658
633	1692	2655
634	1695	2651
635	1697	2647
636	1700	2644
637	1702	2640
638	1704	2636
639	1707	2633
640	1709	2629
641	1712	2626
642	1714	2622
643	1717	2619
644	1719	2616
645	1722	2612
646	1724	2608
647	1726	2604
648	1729	2601
649	1731	2597
650	1734	2593
651	1736	2590
652	1738	2586
653	1741	2582
654	1746	2584
655	1749	2580
656	1751	2577
657	1754	2573
658	1756	2570
659	1759	2566
660	1761	2562
661	1767	2564
662	1769	2561
663	1772	2557
664	1774	2553
665	1776	2550
666	1779	2546
667	1781	2543
668	1784	2539
669	1789	2540
670	1792	2536
671	1794	2533
672	1797	2529
673	1799	2526
674	1801	2522
675	1804	2519
676	1806	2515
677	1811	2515
678	1814	2512
679	1817	2509
680	1820	2507
681	1823	2504
682	1825	2500
683	1828	2497
684	1830	2494
685	1833	2490
686	1835	2486
687	1837	2483
688	1839	2479
689	1842	2475
690	1842	2475
691	1842	2475
692	1842	2475
693	1842	2475
694	1842	2475
695	1842	2475
696	1844	2455
697	1847	2451
698	1849	2448
699	1852	2444
700	1854	2440
701	1856	2437
702	1859	2434
703	1861	2430
704	1864	2427
705	1864	2427
706	1864	2427
707	1866	2418
708	1869	2414
709	1871	2411
710	1874	2408
711	1876	2404
712	1878	2401
713	1878	2401
714	1881	2394
715	1881	2394
716	1881	2394
717	1881	2394
718	1883	2382
719	1886	2379
720	1886	2379
721	1888	2372
722	1890	2369
723	1890	2369
724	1892	2362
725	1895	2359
726	1897	2355
727	1900	2352
728	1902	2348
729	1904	2345
730	1907	2341
731	1909	2338
732	1915	2338
733	1917	2335
734	1920	2332
735	1922	2329
736	1925	2325
737	1927	2322
738	1929	2318
739	1932	2315
740	1937	2315
741	1940	2312
742	1942	2308
743	1945	2305
744	1947	2302
745	1949	2298
746	1951	2294
747	1954	2291
748	1956	2287
749	1958	2284
750	1961	2280
751	1963	2277
752	1966	2274
753	1966	2274
754	1968	2268
755	1971	2264
756	1971	2264
757	1973	2258
758	1975	2254
759	1978	2251
760	1980	2248
761	1982	2244
762	1985	2241
763	1987	2237
764	1989	2234
765	1992	2231
766	1994	2228
767	1997	2224
768	1999	2221
769	2001	2218
770	2004	2214
771	2006	2211
772	2009	2207
773	2011	2204
774	2013	2201
775	2016	2197
776	2018	2194
777	2020	2191
778	2023	2187
779	2025	2184
780	2027	2181
781	2030	2177
782	2032	2174
783	2034	2171
784	2037	2167
785	2039	2164
786	2042	2160
787	2044	2157
788	2046	2154
789	2049	2151
790	2051	2147
791	2054	2144
792	2056	2141
793	2058	2137
794	2060	2134
795	2063	2131
796	2065	2127
797	2067	2124
798	2070	2121
799	2072	2117
800	2074	2114
801	2077	2111
802	2079	2107
803	2081	2104
804	2084	2101
805	2086	2097
806	2088	2094
807	2091	2091
808	2093	2088
809	2096	2085
810	2099	2082
811	2101	2079
812	2108	2080
813	2111	2077
814	2113	2074
815	2116	2071
816	2118	2068
817	2121	2065
818	2123	2061
819	2129	2061
820	2132	2058
821	2134	2055
822	2136	2052
823	2139	2048
824	2141	2045
825	2144	2042
826	2146	2039
827	2152	2039
828	2154	2036
829	2156	2032
830	2159	2029
831	2161	2026
832	2164	2023
833	2166	2019
834	2168	2016
835	2174	2016
836	2177	2013
837	2179	2009
838	2181	2006
839	2183	2003
840	2186	2000
841	2188	1997
842	2191	1993
843	2193	1990
844	2195	1986
845	2197	1983
846	2199	1980
847	2202	1976
848	2204	1973
849	2206	1970
850	2209	1967
851	2211	1963
852	2213	1960
853	2215	1957
854	2218	1953
855	2220	1950
856	2222	1947
857	2225	1944
858	2227	1941
859	2229	1937
860	2232	1934
861	2234	1931
862	2236	1927
863	2239	1924
864	2241	1921
865	2243	1918
866	2246	1915
867	2248	1911
868	2250	1908
869	2253	1905
870	2255	1902
871	2257	1899
872	2260	1896
873	2262	1893
874	2265	1889
875	2267	1886
876	2269	1883
877	2272	1880
878	2274	1877
879	2277	1874
880	2279	1871
881	2282	1868
882	2284	1865
883	2287	1862
884	2289	1859
885	2292	1856
886	2294	1853
887	2297	1850
888	2299	1846
889	2301	1843
890	2304	1840
891	2310	1840
892	2312	1837
893	2315	1834
894	2317	1831
895	2317	1831
896	2317	1831
897	2320	1822
898	2322	1819
899	2328	1819
900	2330	1815
901	2333	1812
902	2335	1809
903	2335	1809
904	2335	1809
905	2338	1801
906	2340	1797
907	2345	1797
908	2348	1794
909	2350	1790
910	2353	1787
911	2355	1784
912	2357	1781
913	2359	1778
914	2362	1775
915	2367	1774
916	2367	1774
917	2367	1774
918	2370	1765
919	2372	1762
920	2374	1759
921	2376	1756
922	2379	1753
923	2381	1750
924	2384	1747
925	2387	1744
926	2389	1741
927	2391	1738
928	2394	1734
929	2396	1731
930	2399	1728
931	2402	1726
932	2405	1723
933	2408	1720
934	2411	1718
935	2414	1715
936	2417	1713
937	2420	1710
938	2423	1707
939	2426	1705
940	2429	1702
941	2432	1699
942	2435	1697
943	2437	1694
944	2440	1691
945	2443	1688
946	2445	1685
947	2448	1682
948	2450	1679
949	2453	1676
950	2455	1673
951	2457	1670
952	2460	1667
953	2462	1664
954	2465	1661
955	2467	1658
956	2470	1655
957	2472	1652
958	2475	1649
959	2477	1646
960	2479	1643
961	2482	1640
962	2484	1636
963	2487	1633
964	2489	1630
965	2492	1627
966	2494	1624
967	2496	1621
968	2499	1618
969	2504	1617
970	2507	1614
971	2509	1611
972	2512	1608
973	2514	1605
974	2517	1602
975	2519	1599
976	2522	1596
977	2528	1596
978	2531	1593
979	2534	1591
980	2537	1588
981	2540	1585
982	2543	1583
983	2550	1582
984	2553	1579
985	2556	1577
986	2559	1574
987	2562	1572
988	2564	1569
989	2567	1566
990	2569	1563
991	2572	1560
992	2574	1557
993	2577	1554
994	2579	1551
995	2581	1548
996	2584	1544
997	2586	1541
998	2589	1538
999	2591	1535
1000	2594	1533
1001	2596	1530
1002	2598	1526
1003	2601	1524
1004	2603	1520
1005	2606	1518
1006	2608	1514
1007	2610	1511
1008	2613	1508
1009	2615	1505
1010	2618	1502
1011	2620	1499
1012	2623	1496
1013	2625	1493
1014	2627	1490
1015	2630	1488
1016	2633	1485
1017	2635	1482
